Channels:	1
Count:	8641
Start:	2460793.1472222223	04/27/25 15:32:00
End:	2460793.1472222223	04/28/25 15:31:50
Parameters:	4
NonRem	2
REM	3
Unscored	255
Wake	1

Date	Time	Time Stamp	Time from Start	yijan_0_Numeric
04/27/25	17:06:20	0	5660.0	2
04/27/25	17:06:30	0	5670.0	2
04/27/25	17:06:40	0	5680.0	2
04/27/25	17:06:50	0	5690.0	3
04/27/25	17:07:00	0	5700.0	3
04/27/25	17:07:10	0	5710.0	3
04/27/25	17:07:20	0	5720.0	3
04/27/25	17:07:30	0	5730.0	3
04/27/25	17:07:40	0	5740.0	3
04/27/25	17:07:50	0	5750.0	3
04/27/25	17:08:00	0	5760.0	3
04/27/25	17:08:10	0	5770.0	3
04/27/25	17:08:20	0	5780.0	1
04/27/25	17:08:30	0	5790.0	1
04/27/25	17:08:40	0	5800.0	1
04/27/25	17:08:50	0	5810.0	2
04/27/25	17:09:00	0	5820.0	1
04/27/25	17:09:10	0	5830.0	2
04/27/25	17:09:20	0	5840.0	1
04/27/25	17:09:30	0	5850.0	1
04/27/25	17:09:40	0	5860.0	1
04/27/25	17:09:50	0	5870.0	2
04/27/25	17:10:00	0	5880.0	2
04/27/25	17:10:10	0	5890.0	1
04/27/25	17:10:20	0	5900.0	2
04/27/25	17:10:30	0	5910.0	2
04/27/25	17:10:40	0	5920.0	1
04/27/25	17:10:50	0	5930.0	2
04/27/25	17:11:00	0	5940.0	2
04/27/25	17:11:10	0	5950.0	2
04/27/25	17:11:20	0	5960.0	2
04/27/25	17:11:30	0	5970.0	2
04/27/25	17:11:40	0	5980.0	2
04/27/25	17:11:50	0	5990.0	2
04/27/25	17:12:00	0	6000.0	2
04/27/25	17:12:10	0	6010.0	2
04/27/25	17:12:20	0	6020.0	1
04/27/25	17:12:30	0	6030.0	1
04/27/25	17:12:40	0	6040.0	2
04/27/25	17:12:50	0	6050.0	2
04/27/25	17:13:00	0	6060.0	2
04/27/25	17:13:10	0	6070.0	2
04/27/25	17:13:20	0	6080.0	1
04/27/25	17:13:30	0	6090.0	2
04/27/25	17:13:40	0	6100.0	2
04/27/25	17:13:50	0	6110.0	2
04/27/25	17:14:00	0	6120.0	2
04/27/25	17:14:10	0	6130.0	2
04/27/25	17:14:20	0	6140.0	2
04/27/25	17:14:30	0	6150.0	2
04/27/25	17:14:40	0	6160.0	2
04/27/25	17:14:50	0	6170.0	1
04/27/25	17:15:00	0	6180.0	2
04/27/25	17:15:10	0	6190.0	2
04/27/25	17:15:20	0	6200.0	2
04/27/25	17:15:30	0	6210.0	2
04/27/25	17:15:40	0	6220.0	2
04/27/25	17:15:50	0	6230.0	2
04/27/25	17:16:00	0	6240.0	2
04/27/25	17:16:10	0	6250.0	2
04/27/25	17:16:20	0	6260.0	2
04/27/25	17:16:30	0	6270.0	2
04/27/25	17:16:40	0	6280.0	2
04/27/25	17:16:50	0	6290.0	3
04/27/25	17:17:00	0	6300.0	3
04/27/25	17:17:10	0	6310.0	3
04/27/25	17:17:20	0	6320.0	3
04/27/25	17:17:30	0	6330.0	3
04/27/25	17:17:40	0	6340.0	3
04/27/25	17:17:50	0	6350.0	3
04/27/25	17:18:00	0	6360.0	3
04/27/25	17:18:10	0	6370.0	1
04/27/25	17:18:20	0	6380.0	1
04/27/25	17:18:30	0	6390.0	2
04/27/25	17:18:40	0	6400.0	1
04/27/25	17:18:50	0	6410.0	2
04/27/25	17:19:00	0	6420.0	3
04/27/25	17:19:10	0	6430.0	3
04/27/25	17:19:20	0	6440.0	3
04/27/25	17:19:30	0	6450.0	3
04/27/25	17:19:40	0	6460.0	3
04/27/25	17:19:50	0	6470.0	3
04/27/25	17:20:00	0	6480.0	3
04/27/25	17:20:10	0	6490.0	3
04/27/25	17:20:20	0	6500.0	1
04/27/25	17:20:30	0	6510.0	2
04/27/25	17:20:40	0	6520.0	1
04/27/25	17:20:50	0	6530.0	2
04/27/25	17:21:00	0	6540.0	2
04/27/25	17:21:10	0	6550.0	2
04/27/25	17:21:20	0	6560.0	2
04/27/25	17:21:30	0	6570.0	1
04/27/25	17:21:40	0	6580.0	2
04/27/25	17:21:50	0	6590.0	2
04/27/25	17:22:00	0	6600.0	2
04/27/25	17:22:10	0	6610.0	2
04/27/25	17:22:20	0	6620.0	2
04/27/25	17:22:30	0	6630.0	2
04/27/25	17:22:40	0	6640.0	2
04/27/25	17:22:50	0	6650.0	2
04/27/25	17:23:00	0	6660.0	1
04/27/25	17:23:10	0	6670.0	2
04/27/25	17:23:20	0	6680.0	2
04/27/25	17:23:30	0	6690.0	2
04/27/25	17:23:40	0	6700.0	2
04/27/25	17:23:50	0	6710.0	2
04/27/25	17:24:00	0	6720.0	2
04/27/25	17:24:10	0	6730.0	2
04/27/25	17:24:20	0	6740.0	1
04/27/25	17:24:30	0	6750.0	2
04/27/25	17:24:40	0	6760.0	2
04/27/25	17:24:50	0	6770.0	2
04/27/25	17:25:00	0	6780.0	1
04/27/25	17:25:10	0	6790.0	2
04/27/25	17:25:20	0	6800.0	2
04/27/25	17:25:30	0	6810.0	2
04/27/25	17:25:40	0	6820.0	2
04/27/25	17:25:50	0	6830.0	2
04/27/25	17:26:00	0	6840.0	2
04/27/25	17:26:10	0	6850.0	2
04/27/25	17:26:20	0	6860.0	2
04/27/25	17:26:30	0	6870.0	2
04/27/25	17:26:40	0	6880.0	2
04/27/25	17:26:50	0	6890.0	2
04/27/25	17:27:00	0	6900.0	2
04/27/25	17:27:10	0	6910.0	1
04/27/25	17:27:20	0	6920.0	1
04/27/25	17:27:30	0	6930.0	2
04/27/25	17:27:40	0	6940.0	2
04/27/25	17:27:50	0	6950.0	2
04/27/25	17:28:00	0	6960.0	2
04/27/25	17:28:10	0	6970.0	2
04/27/25	17:28:20	0	6980.0	2
04/27/25	17:28:30	0	6990.0	2
04/27/25	17:28:40	0	7000.0	2
04/27/25	17:28:50	0	7010.0	3
04/27/25	17:29:00	0	7020.0	3
04/27/25	17:29:10	0	7030.0	3
04/27/25	17:29:20	0	7040.0	3
04/27/25	17:29:30	0	7050.0	3
04/27/25	17:29:40	0	7060.0	3
04/27/25	17:29:50	0	7070.0	3
04/27/25	17:30:00	0	7080.0	1
04/27/25	17:30:10	0	7090.0	1
04/27/25	17:30:20	0	7100.0	1
04/27/25	17:30:30	0	7110.0	1
04/27/25	17:30:40	0	7120.0	1
04/27/25	17:30:50	0	7130.0	2
04/27/25	17:31:00	0	7140.0	1
04/27/25	17:31:10	0	7150.0	1
04/27/25	17:31:20	0	7160.0	1
04/27/25	17:31:30	0	7170.0	2
04/27/25	17:31:40	0	7180.0	2
04/27/25	17:31:50	0	7190.0	2
04/27/25	17:32:00	0	7200.0	2
04/27/25	17:32:10	0	7210.0	2
04/27/25	17:32:20	0	7220.0	2
04/27/25	17:32:30	0	7230.0	2
04/27/25	17:32:40	0	7240.0	1
04/27/25	17:32:50	0	7250.0	2
04/27/25	17:33:00	0	7260.0	2
04/27/25	17:33:10	0	7270.0	2
04/27/25	17:33:20	0	7280.0	2
04/27/25	17:33:30	0	7290.0	2
04/27/25	17:33:40	0	7300.0	2
04/27/25	17:33:50	0	7310.0	2
04/27/25	17:34:00	0	7320.0	2
04/27/25	17:34:10	0	7330.0	3
04/27/25	17:34:20	0	7340.0	3
04/27/25	17:34:30	0	7350.0	1
04/27/25	17:34:40	0	7360.0	2
04/27/25	17:34:50	0	7370.0	2
04/27/25	17:35:00	0	7380.0	2
04/27/25	17:35:10	0	7390.0	3
04/27/25	17:35:20	0	7400.0	3
04/27/25	17:35:30	0	7410.0	3
04/27/25	17:35:40	0	7420.0	1
04/27/25	17:35:50	0	7430.0	2
04/27/25	17:36:00	0	7440.0	2
04/27/25	17:36:10	0	7450.0	3
04/27/25	17:36:20	0	7460.0	3
04/27/25	17:36:30	0	7470.0	3
04/27/25	17:36:40	0	7480.0	3
04/27/25	17:36:50	0	7490.0	3
04/27/25	17:37:00	0	7500.0	3
04/27/25	17:37:10	0	7510.0	1
04/27/25	17:37:20	0	7520.0	1
04/27/25	17:37:30	0	7530.0	2
04/27/25	17:37:40	0	7540.0	1
04/27/25	17:37:50	0	7550.0	1
04/27/25	17:38:00	0	7560.0	1
04/27/25	17:38:10	0	7570.0	1
04/27/25	17:38:20	0	7580.0	1
04/27/25	17:38:30	0	7590.0	2
04/27/25	17:38:40	0	7600.0	2
04/27/25	17:38:50	0	7610.0	1
04/27/25	17:39:00	0	7620.0	1
04/27/25	17:39:10	0	7630.0	2
04/27/25	17:39:20	0	7640.0	2
04/27/25	17:39:30	0	7650.0	2
04/27/25	17:39:40	0	7660.0	2
04/27/25	17:39:50	0	7670.0	2
04/27/25	17:40:00	0	7680.0	1
04/27/25	17:40:10	0	7690.0	2
04/27/25	17:40:20	0	7700.0	2
04/27/25	17:40:30	0	7710.0	2
04/27/25	17:40:40	0	7720.0	1
04/27/25	17:40:50	0	7730.0	2
04/27/25	17:41:00	0	7740.0	2
04/27/25	17:41:10	0	7750.0	2
04/27/25	17:41:20	0	7760.0	2
04/27/25	17:41:30	0	7770.0	2
04/27/25	17:41:40	0	7780.0	2
04/27/25	17:41:50	0	7790.0	3
04/27/25	17:42:00	0	7800.0	3
04/27/25	17:42:10	0	7810.0	3
04/27/25	17:42:20	0	7820.0	3
04/27/25	17:42:30	0	7830.0	3
04/27/25	17:42:40	0	7840.0	3
04/27/25	17:42:50	0	7850.0	1
04/27/25	17:43:00	0	7860.0	1
04/27/25	17:43:10	0	7870.0	1
04/27/25	17:43:20	0	7880.0	1
04/27/25	17:43:30	0	7890.0	2
04/27/25	17:43:40	0	7900.0	2
04/27/25	17:43:50	0	7910.0	1
04/27/25	17:44:00	0	7920.0	2
04/27/25	17:44:10	0	7930.0	2
04/27/25	17:44:20	0	7940.0	2
04/27/25	17:44:30	0	7950.0	2
04/27/25	17:44:40	0	7960.0	2
04/27/25	17:44:50	0	7970.0	2
04/27/25	17:45:00	0	7980.0	3
04/27/25	17:45:10	0	7990.0	3
04/27/25	17:45:20	0	8000.0	3
04/27/25	17:45:30	0	8010.0	3
04/27/25	17:45:40	0	8020.0	1
04/27/25	17:45:50	0	8030.0	2
04/27/25	17:46:00	0	8040.0	2
04/27/25	17:46:10	0	8050.0	1
04/27/25	17:46:20	0	8060.0	2
04/27/25	17:46:30	0	8070.0	2
04/27/25	17:46:40	0	8080.0	2
04/27/25	17:46:50	0	8090.0	2
04/27/25	17:47:00	0	8100.0	1
04/27/25	17:47:10	0	8110.0	2
04/27/25	17:47:20	0	8120.0	2
04/27/25	17:47:30	0	8130.0	2
04/27/25	17:47:40	0	8140.0	2
04/27/25	17:47:50	0	8150.0	2
04/27/25	17:48:00	0	8160.0	2
04/27/25	17:48:10	0	8170.0	2
04/27/25	17:48:20	0	8180.0	3
04/27/25	17:48:30	0	8190.0	3
04/27/25	17:48:40	0	8200.0	3
04/27/25	17:48:50	0	8210.0	3
04/27/25	17:49:00	0	8220.0	1
04/27/25	17:49:10	0	8230.0	1
04/27/25	17:49:20	0	8240.0	1
04/27/25	17:49:30	0	8250.0	2
04/27/25	17:49:40	0	8260.0	2
